"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"387",14,"Houston Texans",HOU,"DST32","6","4 out of 5 stars","-"
"388",14,"Benny Snell Jr.",PIT,"RB109","9","3 out of 5 stars","-112"
"389",14,"Kylen Granson",IND,"TE51","14","2 out of 5 stars","-"
"390",14,"Laquon Treadwell",JAC,"WR128","11","4 out of 5 stars","-"
"391",14,"Noah Brown",DAL,"WR129","9","3 out of 5 stars","-"
"392",14,"Austin Seibert",DET,"K32","6","3 out of 5 stars","-"
"393",14,"Chris Conley",HOU,"WR130","6","3 out of 5 stars","-"
"394",14,"Teddy Bridgewater",MIA,"QB40","11","2 out of 5 stars","-"
"395",14,"Zane Gonzalez",CAR,"K33","13","4 out of 5 stars","-15"
"396",14,"Wayne Gallman Jr.",FA,"RB110","-","-","-71"
"397",14,"Dee Eskridge",SEA,"WR131","11","4 out of 5 stars","-18"
"398",14,"Travis Homer",SEA,"RB111","11","2 out of 5 stars","-22"
"399",14,"Equanimeous St. Brown",CHI,"WR132","14","3 out of 5 stars","-"
"400",14,"Deonte Harty",NO,"WR133","14","4 out of 5 stars","-28"
"401",14,"Ashton Dulin",IND,"WR134","14","4 out of 5 stars","-"
"402",14,"Trestan Ebner",CHI,"RB112","14","5 out of 5 stars","-"
"403",14,"Tyler Johnson",TB,"WR135","11","4 out of 5 stars","-"
"404",14,"Brandon Bolden",LV,"RB113","6","2 out of 5 stars","-40"
"405",14,"Joe Flacco",NYJ,"QB41","10","1 out of 5 stars","-"
"406",14,"Jonathan Garibay",FA,"K34","-","-","-22"
"407",14,"Pharaoh Brown",HOU,"TE52","6","3 out of 5 stars","-24"
"408",14,"Tony Jones Jr.",NO,"RB114","14","3 out of 5 stars","-"
"409",14,"Tristan Vizcaino",NE,"K35","10","5 out of 5 stars","-"
"410",14,"Abram Smith",NO,"RB115","14","3 out of 5 stars","-"
"411",14,"Derrick Gore",FA,"RB116","-","-","-"
"412",14,"Zach Pascal",PHI,"WR136","7","4 out of 5 stars","-60"
"413",14,"Anthony McFarland Jr.",PIT,"RB117","9","3 out of 5 stars","-"
"414",14,"Juwan Johnson",NO,"TE53","14","4 out of 5 stars","-"
"415",14,"Craig Reynolds",DET,"RB118","6","4 out of 5 stars","-"
"416",14,"Tutu Atwell",LAR,"WR137","7","2 out of 5 stars","-"
"417",14,"Justin Watson",KC,"WR138","8","2 out of 5 stars","-"
"418",14,"Geoff Swaim",TEN,"TE54","6","5 out of 5 stars","-"
"419",15,"Antonio Brown",FA,"WR139","-","-","-86"
"420",15,"Keelan Cole Sr.",LV,"WR140","6","2 out of 5 stars","-"
"421",15,"Mack Hollins",LV,"WR141","6","2 out of 5 stars","-"
"422",15,"Ty Chandler",MIN,"RB119","7","4 out of 5 stars","-"
